Company\Brand	Ads	Industry	Latest	First	Links
The Formation World Tour	1	Entertainment	2016	--	
The Hartford	1	Insurance	1999	--	
The Travelers Companies	3	Insurance	1989	1987	
The Washington Post	1	Newspapers	2019	--	
Tide	13	Cleaning Supplies	2021	2008	
  Tide to Go	1	Cleaning Supplies	2008	--	
Timex	1	Technology	1986	--	
T-Mobile	22	Mobile Phones	2022	2008	
Tommy Hilfiger	1	Apparel & Clothing	1998	--	
Top Games US	1	Mobile Games	2017	--	
Tostitos	3	Snacks	2004	1997	
Touchstone Pictures	1	Movies	1998	--	
Tourism Australia	1	Travel Industry	2018	--	
Toyota	24	Automobiles	2021	1982	
  Toyota 4Runner	1	SUVs	1996	--	
  Toyota Avalon	1	Automotive Industry	1995	--	
  Toyota Camry	7	Cars	2015	1989	
  Toyota Celica	2	Automobiles	1990	1982	
  Toyota Corolla	1	Cars	2008	--	
  Toyota Highlander	2	SUVs	2020	2014	
  Toyota Prius	2	Cars	2016	2005	
  Toyota RAV4	2	SUVs	2019	2013	
  Toyota Supra	1	Sports Cars	2019	--	
  Toyota Tacoma	1	Trucks	2006	--	
  Toyota Tundra	2	Trucks	2009	2007	
  Toyota	1	Cars	2009	--	
Trident	1	Gum\Breath Mints	2003	--	
Tropicana	1	Beverages	2000	--	
truTV	1	Entertainment	2010	--	
TurboTax	12	Taxes	2021	2014	
  TurboTax Live	2	Taxes	2021	--	
Turkish Airlines	4	Airline Industry	2020	2017	
Tylenol	5	Pain Relief	1997	1985	
Uber Eats	1	Food Delivery	2021	--	
Under Armour	1	Sports Apparel	2008	--	
United Way	6		1986	1980	
Universal Orlando	2	Theme Parks	2018	2002	
US Airways	3	Airline Industry	1993	1982	
US Census	1		2000	--	
US Military	3		1986	1984	
  US Army	1		1984	--	
  US Marines	2		1986	1985	
USA Network	2	Media Providers	2018	2015	
USDA	1	Food & Beverage	1987	--	
Van Heusen	3	Fashion Apparel	2007	1987	
Vault	1	Soft Drinks	2006	--	
Verizon	8	Mobile Phones	2021	2001	
Victoria's Secret	3	Under Garments	2015	1999	
VISA Check Card	6	Debit Cards	2005	1997	
VitaminWater	1	Energy Drinks	2008	--	
Vizio	1	Televisions	2010	--	
Volkswagen	17	Automobiles	2014	1980	
  Vokswagen GTI	1	Cars	2001	--	
  Volkswagen Beetle	2	Cars	2013	2011	
  Volkswagen Golf	1	Cars	1985	--	
  Volkswagen Jetta	5	Cars	2001	1988	
  Volkswagen Passat	1	Cars	2011	--	
Volvo Trucks	3	Trucks	2000	1998	
Vroom	1	Automobiles Sales	2021	--	
Wall Street Journal	1	Entertainment	2000	--	
Walmart	2	Retail Stores	2020	2019	
Water.org	1	Charity	2018	--	
Wealthsimple	1	Financial Services	2017	--	
WeatherTech	11	Auto Parts & Accessories	2021	2014	
  WeatherTech CupFone	1	Mobile Phone Equipment	2019	--	
WebMD	1	Internet Companies	2000	--	
Weight Watchers	1	Health & Beauty	2015	--	
Wendy's	6	Fast Food	2018	1982	
Westin	2	Hotels	2006	1998	
Wheaties	1	Cereal	1996	--	
Wilson Sporting Goods	1	Retail Stores	1995	--	
Wix.com	5	Computer Software	2019	2015	
Wonderful Pistachios	4	Nuts	2017	2013	
World Baseball Classic	1	Sports Leagues	2006	--	
World of Tanks	2	Computer Games	2017	--	
WWE	3	Sports Leagues	2020	1999	
Yahoo!	5	Internet Companies	2002	1999	
Yamaha Motor	1	Automotive Industry	1996	--	
Yellow Pages	1		1999	--	
Yellow Tail	3	Wine	2019	2017	
YouTube	3	Search Engines	2021	2020	
  YouTube TV	1	TV Providers	2020	--	
Zales	5	Jewelry	2001	--
